Programmation culturelle - Maisons de la culture and Bibliothèques - Hiver-printemps 2017,,,,,
,Contes et bricolage ,2 avril à 14 h,Histoires et oeufs de Pâques,6 à 8 ans,Inscription dès le 2 mars
,Atelier informatique,8 avril à 14 h,HTML (bilingue),8 à 10 ans - Présenté par Kids Code jeunesse,Inscription dès le 8 mars
,Atelier informatique ,8 avril à 14 h,Scratch junior (bilingue),5 à 7 ans - Présenté par Kids Code jeunesse,Inscription dès le 8 mars
,Atelier de danse,22 avril à 14 h,Gumboot,6 à 12 ans - Présenté par Rythme du Baobab,Inscription dès le 22 mars
,Contes,30 avril à 14 h,Contemos historias : lectures partagées en espagnol,6 à 9 ans,Inscription dès le 30 mars
,Club de lecture,6 et 20 mai à 14 h,C’est vraiment trop bête ! La BD animalière,11 à 13 ans,Inscription dès le 6 avril
,Atelier,28 mai à 14 h,BD trouée,8 à 10 ans,Inscription dès le 28 avril
,ADOLESCENTS Inscription par téléphone au 514 872-4636,,,,
,Jeux vidéo,"Les mardis, du 7 février au 30 mai dès 16 h",Game over,14 à 18 ans,Entrée libre
,Soirée des Ados,5 mai de 18 h 30 à 21 h 30,Soirée des Ados,12 à 17 ans - Activité réservée aux ados,Inscription obligatoire
,ADULTES Inscription par téléphone au 514 872-4147,,,,
,Club de lecture en anglais,"10 janvier, 7 février, 7 mars, 4 avril et 2 mai à 10 h",Benny Book Club,Adultes,Inscription dès maintenant
,Club de tricot / Knitting club,"14 et 28 janvier, 11 et 25 février, 11 et 25 mars, 8 et 22 avril et 6 et 20 mai de 13 h à 16 h",Club de tricot / Knitting club,Adultes - Tous – des débutants aux experts – sont invités à venir tricoter et échanger,Inscription dès maintenant
,Atelier informatique en français,"Un mardi sur deux, dès le 17 janvier de 13 h à 15 h",Littératie numérique ,"Adultes - Débutants - Suite de quatre périodes d’introduction à l’informatique, à Internet, au courriel et aux iPad",Inscription dès maintenant
,Computer workshop in English,"Every Wednesday, starting January 18, from 1 p.m. to 3 p.m.",Digital Literacy Primer,"Adults - Beginnner - Four-session primer to computers, the Internet, e-mail and iPads",Inscription dès maintenant
,Atelier informatique,January 24 (in English) et 7 février (en français) from/de 13 h to/à 15 h,Réseaux sociaux / Social Networks,Adultes - Intermédiaires,Inscription dès maintenant
,Atelier de lecture,"28 janvier, 11 et 25 février, 11 et 25 mars, et 8 et 22 avril à 10 h",Mots partagés,Adultes - Présenté par Béatrice Swift - Échanges littéraires entre francophones et apprenants,Inscription dès maintenant
,Conférence en français,28 janvier à 14 h,Rénovations écoénergétiques en milieu résidentiel,Adultes - Présenté par Diane Bastien,Inscription dès maintenant
,Club cinéma,"31 janvier, 28 février, 4 avril et 2 mai à 19 h",Club cinéma multiethnique,Adultes,Inscription dès maintenant
,Club de lecture en français,"1er février, 1er mars, 5 avril et 3 mai à 19 h",Club de lecture Benny,Adultes,Inscription dès maintenant
,Atelier informatique,February 21 (in English) et 7 mars (en français) from/de 13 h to/à 15 h,Prêt numérique / Ebooks,Adultes – Intermédiaires,Inscription dès maintenant
,Atelier d’écriture,"4 et 18 mars, 1er et 22 avril, et 13 et 27 mai à 13 h",Partageons nos mémoires,Adultes - Animé par Carmen Marois,Inscription dès maintenant
,Rencontre d’auteur,11 mars à 10 h,Rencontre avec Aki Shimazaki,Adultes,Inscription dès maintenant
,Conférence en français,14 mars à 19 h,Thomas Hellman - Rêver l’amérique,Adultes - Suivi du spectacle Rêves américains : de la ruée vers l’or à la Grande Crise le vendredi 31 mars,Inscription dès maintenant
,Conférence en français,15 mars à 19 h,Planification de la retraite,Adultes - Présenté par CPA Canada,Inscription dès maintenant
,Atelier informatique,March 21 (in English) et 4 avril (en français) from/de 13 h to/à 15 h,Microsoft Office,Adultes – Intermédiaires,Inscription dès maintenant
,Atelier informatique,April 18 (in English) et 2 mai (en français) from/de 13 h to/à 15 h,Ipad,Adultes - Intermédiaires,Inscription dès maintenant
,Conférence en anglais,25 avril à 19 h,Au-delà des symptômes moteurs,Adultes - Présenté par Parkinson Montréal Laval,Inscription dès maintenant
,Rencontre d’auteur,20 mai à 14 h,"Rencontre avec Zviane, auteure de bandes dessinées","Adultes - Dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal",Inscription dès maintenant
,POUR TOUS Inscription par téléphone au 514 872-4147,,,,
,Atelier créatif,"21 janvier, 18 février, 18 mars, 22 avril et 20 mai de 10 h à 16 h",Ruche d’art Pop up,Pour tous - Avec La Ruche d’Art NDG,Entrée libre
,Benny Fab,Les mercredis de 16 h à 19 h et les dimanches de 13 h à 16 h,Périodes d’accès libre,"Fab lab pour tous - Initiation aux technologies de fabrication, réalisation de projets personnels ou collectifs",Inscription dès le 15 janvier
,Benny Fab,Les mardis de 15 h à 18 h,Accès sur demande,Fab lab pour tous - Profitez d’une période additionnelle pour peaufiner vos réalisations.,Inscription dès le 17 janvier
,Benny Fab,Les dimanches de 10 h à 13 h,Clubs Maker,"Fab lab pour tous - Clubs de robotique, d’électronique, de modélisation 3D et de conception de jeux vidéo. Activitée mensuelle",Inscription dès le 15 janvier
,,,,,
"Bibliothèque de Côte-des-Neiges
5290, chemin de la Côte-des-Neiges, Montréal (Québec) H3T 1Y2
Métro Côte-des-Neiges
Heures d’ouverture :
Lundi, jeudi et vendredi : de 10 h à 18 h
Mardi et mercredi : de 12 h à 19 h 30 
Samedi et dimanche : de 10 h à 17 h",JEUNES Inscription par téléphone au 514 872-5118,,,,
,Rencontre ,"Les mercredis, du 11 janvier au 21 juin à 15 h 30",Mercredi en jeux,6 à 13 ans,
,Atelier ,"Les jeudis, du 12 janvier au 23 février à 14 h 30",Le mat du berger,7 ans + - Club d’échecs,Inscription dès maintenant au comptoir des jeunes
,Heure du conte,"15 et 22 janvier, 5 et 12 février, 5, 12 et 19 mars, 2 et 9 avril, 7, 14 et 28 mai à 10 h 30",Contes bricolos,3 à 6 ans,Inscription au comptoir des jeunes
,Heure du conte,21 janvier à 10 h 30,Les histoires de pirouettes,3 à 6 ans - Présenté par Rosette D’Aragon - Présenté grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès maintenant au comptoir des jeunes
,Atelier,24 janvier à 15 h 30,"Tricoter sans broche, ça se peut ?",8 ans +,Inscription dès maintenant au comptoir des jeunes
,Heure du conte ,"27 janvier, 24 février, 31 mars, 28 avril et 26 mai à 10 h 30",Les petites menottes,0 à 20 mois,Inscription au comptoir des jeunes
,Heure du conte,"28 janvier, 11 février, 11 mars, 1er avril, et 6 et 27 mai à 10 h 30",Les contes du samedi,3 à 6 ans,Inscription au comptoir des jeunes
,Brico-musique,4 février à 10 h 30,Harpe-Maracas,3 à 6 ans - Présenté par Jeunesses musicales du Canada,Inscription dès le 4 janvier au comptoir des jeunes
,Heure du conte,8 février à 18 h 30,"Doudou, pyjamas et chocolat",3 à 6 ans,Inscription dès le 8 janvier au comptoir des jeunes
,Heure du conte,19 février à 10 h 30,Histoires pour grandir et rêver,18 mois à 3 ans - Présenté par Sonia Péguin - Présenté grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès le 19 janvier au comptoir des jeunes
,Heure du conte,25 février et 25 mars à 10 h 30,Les contes de MME Solène,3 à 6 ans - Présenté par Solène Deshaies - Présenté grâce au soutien financier des Amis de  la bibliothèque de Montréal,Inscription dès le 25 janvier au comptoir des jeunes
,Jeux,Du 25 février au 12 mars,Défis des biblios,0 à 13 ans - Quelle bibliothèque réussira le plus de défis ? - Présenté dans le cadre du ,Inscription dès maintenant
,Rencontre,2 et 9 mars à 14 h 30,Tournoi d’échecs inter-biblio,7 ans + - Présenté dans le cadre du Festival Montréal Joue - La rencontre du 9 mars aura lieu à la Bibliothèque interculturelle,Inscription dès le 2 février au comptoir des jeunes
,Atelier de création,"4, 6, 7, 8 et 10 mars de 13 h 30 à 16 h 30",Club de conception de jeux TD,8 à 12 ans - Série de 5 ateliers présentés par Randolph - Présenté dans le cadre du Festival Montréal Joue,Inscription dès le 4 février au bureau de la technicienne jeunesse
,Heure du conte ,4 mars et 29 avril à 10 h 30,Tout petits contes,18 mois à 3 ans,Inscription au comptoir des jeunes
,Atelier de jeux,11 mars de 14 h à 16 h,"Des jeux, des jeux, encore des jeux !",6 à 13 ans - Lancement et initiation aux nouveaux jeux de la bibliothèque - Présenté dans le cadre du Festival Montréal Joue,Inscription dès le 11 février au comptoir des jeunes
,Concours,Du 13 au 31 mars,La poésie est sur le dos,5 à 13 ans - Petits prix de poésie dans CDN-NDG - Présenté dans le cadre du Festival ,Inscription dès maintenant
,Oeuvre collective,Du 13 au 31 mars,Cadavre exquis,5 à 13 ans - Présenté dans le cadre du Festival J’aime la poésie,Inscription dès maintenant
,Atelier,23 mars à 15 h 30,Haïku,7 à 13 ans - Présenté dans le cadre du Festival J’aime la poésie,Inscription dès le 23 février au comptoir des jeunes
,Bricolage collectif,Du 1er au 30 avril,Murale Montréal par les livres,3 à 13 ans - Dis-nous pourquoi tu aimes Montréal ! - Présenté dans le cadre des ,Inscription dès maintenant
,Contes et atelier de création écologique,8 avril à 10 h 30,Glaneuses fabuleuses,4 à 6 ans - Présenté par Marie-Claude Leclerc - Présenté grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès le 8 mars au comptoir des jeunes
,Atelier,13 avril à 15 h 30,Signets rigolos-écolos,7 ans +,Inscription dès le 13 mars au comptoir des jeunes
,Heure du conte,23 avril à 10 h 30,Brico-livres,3 à 6 ans - Présenté dans le cadre de la Journée mondiale du livre et du droit d’auteur,Inscription dès le 23 mars au comptoir des jeunes
,Atelier,3 mai à 15 h 30,Confection d’une toile BD,"8 ans + - Présenté dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal",Inscription dès le 3 avril au comptoir des jeunes
,Atelier de création,6 mai à 14 h,Ma musique en BD,"7 à 12 ans - Présenté par Jeunesses musicales du Canada - Présenté dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal",Inscription dès le 6 avril au comptoir des jeunes
,Rencontre,12 mai à 15 h 30,Génies en BD,"7 à 12 ans - Présenté dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal",Inscription dès le 12 avril au comptoir des jeunes
,Atelier de création,18 mai à 15 h 30,Devient un super-héros !,"7 ans + - Présenté dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal",Inscription dès le 18 avril au comptoir des jeunes
,Heure du conte,20 mai à 10 h 30,Un p’tit pouce qui marche…,18 mois à 3 ans - Présenté par Rosette D’Aragon - Présenté grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès le 20 avril au comptoir des jeunes
,Atelier cuisine,2 juin à 15 h 30,Explosion de saveurs,7 à 13 ans - Présenté par Les ateliers cinq-épices - Présenté grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès le 2 mai au comptoir des jeunes
,Heure du conte,14 juin à 18 h 30,Doudou et pyjamas,3 à 6 ans,Inscription dès le 14 mai au comptoir des jeunes
,ADULTES Inscription par téléphone au 514 872-2370 ou inscription dès maintenant (places limitées) au bureau de la technicienne,,,,
,Conférence,11 février à 14 h 15,À la découverte du monde scandinave à partir des polars,Adultes - Présenté par Hélène Laforce,Inscription dès maintenant 
,Atelier,1er mars à 14 h,Le salon du scrabble,Adultes - Présenté par Annie Béliveau - Dans le cadre du Festival Montréal joue,Inscription dès maintenant 
,Conférence,16 mars à 14 h,"Mémoire, mémoire, dis-moi que tu seras fidèle !",Adultes - Présenté par Simon Cloutier,Inscription dès maintenant
,Conférence,22 avril à 14 h,10 raisons d’être agrotouriste,Adultes - Présenté par Julie Aubé,Inscription dès maintenant
,,,,,
"Bibliothèque Interculturelle
6767, chemin de la Côte-des-Neiges, Montréal (Québec) H3S 2T6
Métro Côte-des-Neiges et bus 165, Nord
Métro Plamondon et bus 160, Est
Heures d’ouverture :
Lundi, jeudi et vendredi : de 10 h à 18 h
Mardi et mercredi : de 12 h à 19 h 30
Samedi et dimanche : de 10 h à 17 h ",JEUNES Inscription par téléphone au 514 868-4716,,,,
,Heure du conte,"21 et 29 janvier, 11 février, 18 et 26 mars, 8 et 23 avril, 21 mai et 3 et 18 juin à 10 h 30",Brico-contes en famille,3 ans +,Inscription dès maintenant
,Heure du conte,"26 janvier, 23 février, 23 mars, 20 avril, 18 mai, 15 juin à 10 h 30",Les petits gigoteurs,0 à 3 ans,Inscription dès maintenant
,Jeux vidéo,"15 janvier, 5 février, 5 mars, 2 avril, 7 mai et 4 juin à 14 h","Console, manettes et compagnie",Ados et enfants,Inscription dès maintenant
,Atelier de jeux,"18 janvier, 1er et 15 février, 1er, 15 et 29 mars, 12 et 26 avril, 10 et 24 mai, et 7 et 21 ",Club de lego,6 à 12 ans,Inscription dès maintenant
,Cinéma pour la famille,"27 janvier, 24 février, 24 mars et 28 avril à  16 h",Maïs soufflé & ciné,Familial,Inscription dès maintenant
,Danse libre,18 février à 10 h 30,La sarabande des bambins,0 à 5 ans,Inscription dès maintenant
,Atelier Scientifique,19 février à 13 h 30,Quel est le meilleur avion ?,6 à 12 ans - Présenté par Les Scientifines,Inscription dès maintenant
,Spectacle de conte,25 février à 10 h 30,Mes plus beaux contes de Robert Munsch,"3 à 8 ans, parents bienvenus - Présenté par Renée Robitaille - Grâce au soutien financier des Amis de la Bibliothèque de Montréal",Inscription dès maintenant
,Atelier de jeux,4 mars à 14 h,Raconte-moi une histoire,"6 à 12 ans - Présenté par Tania Baladi - Dans le cadre de la semaine de relâche et du Festival Montréal joue, grâce au soutien financier des Amis de la Bibliothèque de Montréal",Inscription dès maintenant
,Atelier de jeux,10 mars à 14 h,Découverte de jeux de société,7 ans + - Présenté par Randolph animation - Dans le cadre de la semaine de relâche et du Festival Montréal joue,Inscription dès maintenant
,Concours,Du 13 au 31 mars,La poésie est sur le dos,5 à 13 ans - Petits prix de poésie dans Côte-des-Neiges–Notre-Dame-de-Grâce - Dans le cadre du Festival J’aime la poésie,Inscription dès maintenant
,Bricolage collectif,Du 1er au 30 avril,Murale Montréal par les livres,3 à 13 ans - Dis-nous pourquoi tu aimes Montréal ! - Dans le cadre des Festivités du 375e anniversaire de Montréal,Inscription dès maintenant
,Atelier scientifique,1er avril à 13 h 30,La science qui pétille sur tes papilles,6 à 12 ans - Présenté par Les Scientifines,Inscription dès maintenant
,Atelier parents-bébés,2 avril à 10 h 30,Bébés chanteurs,De la naissance à avant les premiers pas - Présenté par Sonia Péguin,Inscription dès maintenant
,Rencontre d’auteur et atelier,29 avril à 10 h,La fête de Chapultepec,"6 ans +, parents bienvenus  - Rencontre avec l’auteure jeunesse Marie Barguirdjian - Dans le cadre du Festival littéraire international de Montréal Metropolis bleu et grâce au soutien financier des Amis de la Bibliothèque de Montréal",Inscription dès maintenant
,Éveil à la danse,6 mai à 10 h 30,Danse-moi une histoire,3 à 5 ans avec parents - Présenté par Mme Clarisse Delatour - Grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès maintenant
,Rencontre d’auteur et atelier,20 mai à 14 h,Atelier de bande dessinée,"7 à 16 ans - Rencontre avec l’auteure de bande-dessinée Stéphanie Leduc - Dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal et grâce au soutien financier des Amis de la Bibliothèque de Montréal",Inscription dès maintenant
,Atelier de coiffure,27 mai à 10 h 30,Papa s’emmêle,3 ans + - Coiffure 101 pour les papas !,Inscription dès maintenant
,ADOLESCENTS Inscription par téléphone au 514 868-4720,,,,
,Jeux vidéo,"26 janvier, 23 février, 23 mars, 20 avril, 25 mai et 22 juin à 16 h","Console, manettes et compagnie",Ados et enfants,Inscription dès maintenant
,Atelier,30 mars à 14 h,Ce qui se cache sous la production d’un film : réalisation d’un court métrage,11 à 17 ans - Présenté par Catherine Lemieux Lefebvre,Inscription dès maintenant
,Rencontre d’auteur et atelier,20 mai à 14 h,Atelier de bande dessinée,"7 à 16 ans - Rencontre avec l’auteure de bande-dessinée Stéphanie Leduc - Dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal et grâce au soutien financier des Amis de la Bibliothèque de Montréal",Inscription dès maintenant
,ADULTES Inscription par téléphone au 514 868-4720,,,,
,Rencontre,"9 et 23 janvier, 6 et 20 février, 6 et 20 mars, 3 avril, 1er, 15 et 29 mai, et 12 juin à 13 h",Conversation français / espagnol,Adultes,Inscription dès maintenant
,Rencontre,"11 et 25 janvier, 8 et 22 février, 8 et 22 mars, 5 et 19 avril, 3, 17 et 31 mai, et 14 juin à 13 h",À vos broches (crochets)…Tricotons !,Adultes ,Inscription dès maintenant
,Conférence,22 janvier à 13 h 30,Livres rares,Adultes - Présenté par Mme Ressina et M. Paul de la Bibliothèque publique juive,Inscription dès maintenant
,Rencontre,"29 janvier, 12 et 26 février, 12 et 26 mars, 9 et 23 avril, 14 et 28 mai, et 11 juin à 13 h",Conversation français/ anglais,Adultes,Inscription dès maintenant
,Conférence,21 février à 14 h,Maximiser son intégration vs les études,"Nouveaux arrivants - Présenté par Mme Sandra Cherry, conseillère en orientation",Inscription dès maintenant
,Formation – en anglais,"15, 22 et 29 mars à 10 h",Capsules informatiques,"Adultes - La souris, Google, commandes de base",Inscription dès maintenant
,Conférence,18 mars à 13 h 30,Plantes aromatiques 4E Volet,"Adultes  - Présenté par Mme Sylvie Fullum, horticultrice",Inscription dès maintenant
,Formation – en français,"12, 19 et 26 avril à 10 h",Capsules informatiques,"Adultes - La souris, Google, commandes de base",Inscription dès maintenant
,Conférence,24 avril à 13 h 30,Comment aider un proche âgé sans s’épuiser ?,Adultes - Présenté par Mme Linda Couture du Centre de bénévolat SARPAD,Inscription dès maintenant
,Conférence,16 mai à 13 h 30,L’activité physique partie intégrante d’un mode de vie sain,"Adultes - Présenté par M. Philippe Briand, kinésiologue au CSSS de la Montagne",Inscription dès maintenant
,,,,,
"Bibliothèque de Notre-Dame-de-Grâce
3755, rue Botrel (angle chemin de la Côte-Saint-Antoine), Montréal (Québec) H4A 3G8
Métro Villa-Maria et bus 24
Métro Vendôme et bus 102
Heures d’ouverture :
Lundi, jeudi et vendredi : de 10 h à 18 h
Mardi et mercredi : de 12 h à 19 h 30
Samedi et dimanche : de 10 h à 17 h",JEUNES Inscription par téléphone au 514 872-2377,,,,
,Bricolage,De février à juin,Bricolage en libre-service,"Chaque mois un nouveau thème est proposé :
Février : Aimants de frigo rigolos
Mars : Accessoires en ruban résistant
Avril : Maracas pour célébrer
Mai : Bilboquets en folie
Juin : Fabrique-toi un compas",Présentez-vous au comptoir des jeunes pour obtenir le matériel requis
,Heure du conte en anglais,"14 janvier, 18 février, et 1er et 29 avril à 10 h 30",Storytime !,3 à 5 ans - Présenté par Tania Baladi de la Machine à nuages - Présenté grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès maintenant au comptoir des jeunes
,Heure du conte,"21 janvier, 18 mars et 13 mai à 10 h 30",Mini-Conte,"2 à 3 ans - Avec Hélène, la gentille bibliotechnicienne",Inscription dès maintenant au comptoir des jeunes
,Heure du conte,"28 janvier, 25 février, 25 mars, 22 avril et 27 mai à 10 h 30",Heure du conte de Laurent,"4 à 7 ans - Présenté par Laurent, notre aide-bibliothécaire voyageur",Inscription dès maintenant au comptoir des jeunes
,Heure du conte,"29 janvier, 19 février, 19 mars, 9 avril et 14 mai à 10 h 30",Heure du conte avec Audrey,"4 à 6 ans - Présenté par Audrey, notre aide-bibliothécaire amie des chats",Inscription dès maintenant au comptoir des jeunes
,Atelier bilingue (Jeunes),5 février à 10 h 30,Éveil à la musique : tout-petits,18 mois à 3 ans avec un parent - Présenté par Stacey Meiklejohn de Meikle Musik,Inscription dès maintenant au comptoir des jeunes
,Soirée de jeux,"10 et 24 février, 10 et 24 mars, 7 et 21 avril, et 5 et 19 mai de 16 h à 17 h 30","Vendredi, on fait une partie ?",8 ans +,Inscription dès maintenant au comptoir des jeunes
,Spectacle,11 février à 10 h 30,La maison dans la neige,18 mois à 5 ans - Présenté par Édith Grosse,Inscription dès maintenant au comptoir des jeunes
,Bricolage de la Saint-Valentin,11 février à 14 h,Collier de perles de papier,4 ans +,Inscription dès maintenant au comptoir des jeunes
,Après-midi de jeux,25 février à 13 h 30,La caravane ludique,7 ans + - Présenté par Randolph Pub Ludique - Présenté dans le cadre du Festival Montréal joue,Inscription dès maintenant au comptoir des jeunes
,Heure du conte,4 mars et 8 avril à 10 h 30,Petites graines de conte,4 mois à 2 ans - Présenté par Édith Grosse - Présenté grâce au soutien financier des Amis de la bibliothèque de Montréal,Inscription dès maintenant au comptoir des jeunes
,Concours,Du 13 au 31 mars,La poésie est sur le dos,5 à 13 ans - Petits prix de poésie dans CDN-NDG - Dans le cadre du Festival J’aime la poésie,Inscription dès maintenant au comptoir des jeunes
,Bricolage du poisson d’avril,26 mars à 14 h,Un poisson brillant,4 ans +,Inscription dès maintenant au comptoir des jeunes
,Bricolage collectif,Du 1er au 30 avril,Murale J’aime Montréal,3 à 13 ans - Dis-nous pourquoi tu aimes Montréal ! - Dans le cadre des Festivités du 375e anniversaire de Montréal,Inscription dès maintenant au comptoir des jeunes
,Bricolage de Pâques,8 avril à 14 h,Poussins mignons,4 ans +,Inscription dès maintenant au comptoir des jeunes
,Atelier bilingue (Jeunes),23 avril à 10 h 30,Éveil à la musique : bébés,0 à 18 mois avec un parent - Présenté par Stacey Meiklejohn de Meikle Musik,Inscription dès maintenant au comptoir des jeunes
,Concours,6 mai à 14 h,Génies en BD,"7 ans + - Dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal en collaboration avec la commission scolaire Marguerite-Bourgeoys",Inscription dès maintenant au comptoir des jeunes
,Bricolage de la fête des Mères,13 mai à 14 h,Arbre à bijoux,4 ans +,Inscription dès maintenant au comptoir des jeunes
,Atelier de création,28 mai à 14 h,Crée ta BD ,"8 à 13 ans - Dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal",Inscription dès maintenant au comptoir des jeunes
,Bricolage de la fête des Pères,17 juin à 14 h,Porte-clés,4 ans +,Inscription dès maintenant au comptoir des jeunes
,Adultes Inscription par téléphone au 514 872-2398,,,,
,Club de lecture en anglais,"17 janvier, 21 février, 21 mars, 18 avril et 16 mai à 13 h 30",English Bookclub,Adultes ,Inscription dès maintenant au comptoir des adultes
,Club de lecture en français,"Un mardi par mois, en après-midi",Club de lecture NDG,Adultes,Inscription dès maintenant au comptoir des adultes
